DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr,fractal_spectral_lag_window,fractal_spectral_multitaper,fractal_spectral_wosa,fractal_spectral_direct,lillie_test,anderson_darling,pearson_test,cramer_test,shapiro_francia,shapiro_test,adf,kpps_level,kpps_trend,pp,hurts_tsf,max_level_shift_tsf,max_var_shift_tsf,max_kl_shift_tsf,alpha_tsf,beta_tsf,gamma_tsf,firstmin_ac_tsf,firstzero_ac_tsf,std1st_der_tsf,spreadrandomlocal_meantaul_tsf,fluctanal_prop_r1_tsf
0.47728158,-0.18717954,33,11,0.6492126,0.02317836,0.92582418,60,0.0625,11,0.38746488,1,0.01111111,0.55068493,-0.87945205,0.93227489,6,1.73831803,0.13333333,0.8,0.02454369,0.32221156,1.397014004,1.373366169,1.36966767,1.417278251,4.95E-06,7.81E-17,1.25E-12,4.29E-09,1.25E-10,3.60E-12,0.201715143,0.01,0.01,0.01,0.998528615,1262.791667,556691.3508,3.485306641,0.508268156,0.000102501,0.000100246,11,90,408.8900523,2.14,0.133333333
0.344363448,0.139317859,61,11,0.740801435,0.006367099,0.824175824,73,0.074074074,11,0.649735482,1,0.008264463,0.802739726,-0.736986301,0.959885431,8,1.477122124,0.133333333,0.711111111,0.012271846,0.240264861,1.306841614,1.41665358,1.446487727,1.360373478,8.15E-06,1.29E-06,4.83E-10,7.40E-05,8.28E-06,8.99E-07,0.027628872,0.01,0.01,0.01,0.999303384,876.475,336868.4145,1.078535179,0.556178094,0.000108412,0.000151703,11,121,258.6032896,2.37,0.133333333
-0.910635917,-1.101969704,69,238,1.090762966,0.00152109,0.596153846,134,0.166666667,0,1.362655609,3,0.007462687,0.849315068,-0.62739726,0.981306232,5,1.339411651,0.155555556,0.822222222,0.012271846,0.123647471,1.565577244,1.69125437,1.688870686,1.536127532,5.26E-12,2.52E-18,1.66E-29,1.88E-09,6.49E-11,1.40E-12,0.604084485,0.01,0.01,0.01,0.999773448,3029.958333,3833554.575,0.45192651,0.526059348,0.000100034,0.208965606,238,134,777.493571,2.93,0.155555556
0.1246229,-0.07737242,64,11,0.81397393,0.01016606,0.86263736,123,0.16666667,11,0.52267211,7,0.0078125,0.75068493,-0.77534247,0.94601148,6,1.51099762,0.13333333,0.2,0.01227185,0.2931802,1.125929766,1.257404991,1.287348509,1.412560556,0.007831509,0.00049554,0.0491077,0.00411505,0.000234356,3.34E-05,0.21306792,0.01,0.01,0.01,0.998965398,806.175,245282.0575,1.131675718,0.437681015,0.000100003,0.000100357,11,128,359.649042,2.46,0.133333333
-1.145980765,-1.318883937,86,47,1.03039488,0.000153545,0.75,77,0.166666667,66,1.105758532,3,0.007874016,0.702739726,-0.682191781,0.981418361,8,1.290716118,0.133333333,0.8,0.012271846,0.170811407,1.611854963,1.742029236,1.767905903,1.642046225,9.59E-13,3.12E-18,6.62E-26,1.47E-09,2.59E-10,6.07E-12,0.033705608,0.01,0.01,0.01,0.999633431,1036.893333,366309.0826,3.044740922,0.61537311,0.18411691,0.065857422,47,127,136.1959263,2.37,0.133333333
-1.21820645,-1.02277811,85,2,0.76273409,0.01356089,0.8489011,134,0.16666667,2,0.56771084,1,0.0078125,0.77808219,-0.65753425,0.95372894,7,1.46167817,0.15555556,0.82222222,0.01227185,0.25209639,1.186333314,1.260879915,1.318603682,1.371625108,1.02E-12,9.98E-17,7.37E-23,1.05E-09,2.66E-09,9.93E-11,0.219395598,0.01,0.01,0.01,0.999081023,817.775,245637.0164,0.970968302,0.324018612,0.000100007,0.123962943,2,128,304.8673275,1.77,0.155555556
0.767225899,0.057284398,30,2,0.534447955,0.013231745,0.923076923,60,0.074074074,3,0.418775225,1,0.009803922,0.468493151,-0.787671233,0.897903792,5,1.658204001,0.777777778,0.8,0.024543693,0.424094069,1.364006795,1.400228931,1.381965932,1.280657819,0.000523228,9.64E-08,0.000789149,2.20E-06,2.31E-05,3.95E-06,0.095307452,0.01,0.01,0.01,0.997528213,3905.1,4655912.782,5.117297725,0.546184429,0.032123418,0.000117384,2,102,904.6979669,1.92,0.777777778
-1.08E+00,-8.72E-01,8.10E+01,6.50E+01,9.00E-01,-1.02E-04,8.10E-01,1.40E+02,1.67E-01,0.00E+00,8.92E-01,4.00E+00,7.41E-03,8.68E-01,-6.30E-01,9.69E-01,5.00E+00,1.49E+00,1.33E-01,8.44E-01,1.23E-02,1.89E-01,1.61378395,1.618290413,1.639631589,1.422899265,1.29E-20,2.57E-18,1.41E-25,7.37E-10,1.07E-09,3.89E-11,0.469182051,0.01,0.01,0.01,0.999584285,1045,290493.8843,0.809768152,0.493482708,0.000100017,0.245513032,65,135,289.4030295,2.61,0.133333333
-8.94E-01,-1.07E+00,8.20E+01,2.38E+02,1.04E+00,5.74E-04,5.93E-01,1.48E+02,1.67E-01,4.70E+01,1.38E+00,3.00E+00,7.63E-03,7.92E-01,-6.27E-01,9.83E-01,5.00E+00,1.31E+00,1.56E-01,8.22E-01,1.23E-02,1.27E-01,1.637216562,1.812873608,1.807054846,1.504119338,8.81E-14,4.29E-23,4.89E-40,7.37E-10,7.37E-12,1.05E-13,0.059027883,0.01,0.01,0.01,0.999773448,449.0041667,75720.47388,0.354053548,0.55855645,0.000269407,0.246620831,238,131,99.21783678,2.52,0.155555556
-1.250502084,-1.066803785,86,4,0.825179876,0.008809277,0.879120879,147,0.166666667,11,0.667729747,3,0.008,0.564383562,-0.682191781,0.953501993,5,1.457042312,0.133333333,0.8,0.012271846,0.260548877,1.244176513,1.249863623,1.333350185,1.310232397,6.39E-13,1.58E-20,2.15E-31,7.37E-10,3.53E-10,9.32E-12,0.553401975,0.01,0.01,0.01,0.999195048,1084.958333,608503.7957,0.577674362,0.37534446,0.000272004,0.000100059,4,125,359.7802226,2.13,0.133333333
